year_month,year,month,zip,zip_name,state,median_listing_price,category,period,rmse
2025_07,2025,07,32080,saint augustine,fl,629366.74,predicted,12,53428.05
2025_06,2025,06,32080,saint augustine,fl,639561.46,predicted,11,51153.46
2025_05,2025,05,32080,saint augustine,fl,641363.67,predicted,10,48772.91
2025_04,2025,04,32080,saint augustine,fl,636774.34,predicted,9,46270.05
2025_03,2025,03,32080,saint augustine,fl,645052.62,predicted,8,43623.82
2025_02,2025,02,32080,saint augustine,fl,643358.52,predicted,7,40806.35
2025_01,2025,01,32080,saint augustine,fl,652725.26,predicted,6,37779.33
2024_12,2024,12,32080,saint augustine,fl,625055.74,predicted,5,34487.66
2024_11,2024,11,32080,saint augustine,fl,634225,predicted,4,30846.7
2024_10,2024,10,32080,saint augustine,fl,628618.38,predicted,3,26714.02
2024_09,2024,09,32080,saint augustine,fl,621346.6,predicted,2,21811.91
2024_08,2024,08,32080,saint augustine,fl,632104.71,predicted,1,15423.35
2024_07,2024,07,32080,saint augustine,fl,637500,historical,NA,NA
2024_06,2024,06,32080,saint augustine,fl,649000,historical,NA,NA
2024_05,2024,05,32080,saint augustine,fl,635725,historical,NA,NA
2024_04,2024,04,32080,saint augustine,fl,638725,historical,NA,NA
2024_03,2024,03,32080,saint augustine,fl,644900,historical,NA,NA
2024_02,2024,02,32080,saint augustine,fl,638450,historical,NA,NA
2024_01,2024,01,32080,saint augustine,fl,642700,historical,NA,NA
2023_12,2023,12,32080,saint augustine,fl,645500,historical,NA,NA
2023_11,2023,11,32080,saint augustine,fl,656000,historical,NA,NA
2023_10,2023,10,32080,saint augustine,fl,667000,historical,NA,NA
2023_09,2023,09,32080,saint augustine,fl,669000,historical,NA,NA
2023_08,2023,08,32080,saint augustine,fl,668500,historical,NA,NA
2023_07,2023,07,32080,saint augustine,fl,659950,historical,NA,NA
2023_06,2023,06,32080,saint augustine,fl,657000,historical,NA,NA
2023_05,2023,05,32080,saint augustine,fl,650000,historical,NA,NA
2023_04,2023,04,32080,saint augustine,fl,649900,historical,NA,NA
2023_03,2023,03,32080,saint augustine,fl,664975,historical,NA,NA
2023_02,2023,02,32080,saint augustine,fl,649950,historical,NA,NA
2023_01,2023,01,32080,saint augustine,fl,649000,historical,NA,NA
2022_12,2022,12,32080,saint augustine,fl,645000,historical,NA,NA
2022_11,2022,11,32080,saint augustine,fl,649900,historical,NA,NA
2022_10,2022,10,32080,saint augustine,fl,649000,historical,NA,NA
2022_09,2022,09,32080,saint augustine,fl,664000,historical,NA,NA
2022_08,2022,08,32080,saint augustine,fl,669000,historical,NA,NA
